,category,url,title,subtitle,pick,supporters,reward_levels,like_num,share_num,price,achievement_rate,achievement_goal,funding_period,funding_duration,start_day,abs_achievement_rate
13962,실용 · 취미,https://tumblbug.com/321321,집 사는 건 왜 학교에서 안 가르쳐 주지?,"내가 살(live)집, 내가 살(buy)집!현명한 선택을 도와줄 똑똑한 부동산 앱 활용법!",0,49,"['1,000원 +', '19,900원 +', '26,900원 +', '29,900원 +', '13,900원 +', '16,900원 +', '23,900원 +']",123,37,963300.0,192%,500000,2023.08.08 ~ 2023.09.07,30,Tuesday,192.66
13963,실용 · 취미,https://tumblbug.com/befree1,회계/경리 분개 노트 집,"회계 계정의 개념과 분개에 대해 쉽고,명확하게 설명해 드립니다 ",0,60,"['1,000원 +', '15,000원 +']",109,5,900000.0,180%,500000,2023.07.18 ~ 2023.08.09,22,Tuesday,180.0
13964,실용 · 취미,https://tumblbug.com/writing_book,밸런스게임 + 명언 = 골라 쓰는 신개념 필사책 ,밸런스 게임 풀고 나를 위한 명언을 골라 쓰는 새로운 필사책!,0,57,"['1,000원 +', '17,000원 +', '30,000원 +', '18,000원 +', '33,000원 +', '35,000원 +', '67,000원 +', '75,000원 +']",128,26,1668000.0,166%,1000000,2023.06.30 ~ 2023.08.06,37,Friday,333.59999999999997
13965,실용 · 취미,https://tumblbug.com/bravekkachi_palace,만화 <궁> 컬러링 굿즈 패키지! 한정판 로맨스 패키지,리커버 기념 한정판 <궁 컬러링 굿즈 패키지>! 새로 리커버된 책과 굿즈를 만나보세요,0,61,"['1,000원 +', '54,000원 +', '84,000원 +', '104,000원 +', '104,000원 +', '124,000원 +', '164,000원 +', '184,000원 +', '204,000원 +', '244,000원 +', '364,000원 +']",644,144,16653000.0,166%,10000000,2023.09.13 ~ 2023.10.09,26,Wednesday,3330.6
13966,실용 · 취미,https://tumblbug.com/voca2023,세상에서 가장 쉬운 기초 영어단어,기초영어단어 자료로 손쉽게 영어 단어를 정복해보세요!!,0,25,"['1,000원 +', '25,000원 +', '28,000원 +']",64,0,751000.0,150%,500000,2023.06.29 ~ 2023.07.03,4,Thursday,150.2
13967,실용 · 취미,https://tumblbug.com/selfswim,수영 강습 없이 4가지 영법을 마스터 할 수 있었던 비법,생존 수영도 힘들어 하던 나를 강습 없이 4가지 수영 영법을 마스터 할 수 있게 한 방법론,0,41,"['1,000원 +', '12,900원 +', '14,900원 +', '21,900원 +']",59,1,640100.0,128%,500000,2023.09.26 ~ 2023.10.31,35,Tuesday,128.02
13968,실용 · 취미,https://tumblbug.com/tipexcel2023,초보자도 쉽게 따라하는 엑셀 핵심 기능 정복하기,누구보다 빠르게!! 업무 시간 단축 스킬 및 엑셀 전문가의 꿀팁 대공개!!,0,22,"['1,000원 +', '17,000원 +', '19,000원 +']",62,0,626000.0,125%,500000,2023.05.25 ~ 2023.05.29,4,Thursday,125.2
13969,실용 · 취미,https://tumblbug.com/makefamily,5년만에 120억 매출 달성한 온라인 사업 전략서,5년간 120억 벌 수 있었던 온라인 사업 공략집,0,14,"['1,000원 +', '99,000원 +', '189,000원 +', '289,000원 +', '490,000원 +', '690,000원 +']",47,4,4919000.0,983%,500000,2023.11.03 ~ 2023.11.15,12,Friday,983.8
13970,실용 · 취미,https://tumblbug.com/saju_book,[사주용어백과사전] 운명을 사로잡는 사례 압축본,"찾고 확인만 하세요! 이제 더이상 빙산의 일각이 아닌
빙산을 보실 수 있으실거예요!",0,150,"['1,000원 +', '78,000원 +', '25,000원 +', '35,000원 +', '80,000원 +', '24,000원 +', '34,000원 +']",261,18,4797000.0,959%,500000,2023.04.30 ~ 2023.05.10,10,Sunday,959.4
13971,실용 · 취미,https://tumblbug.com/holytime,타로카드 중심을 잡다! TAROT 총정리!,타로 고수와 함께하는 타로 안내서 입니다. 이 책을 통해 타로의 중심을 잡아드립니다. ,0,65,"['1,000원 +', '69,000원 +', '63,000원 +']",151,25,4337000.0,867%,500000,2023.10.10 ~ 2023.11.17,38,Tuesday,867.4
